source_id,source_title,relation_type,target,basis
VIRT-EUROSYS25-02,Towards VM Rescheduling Optimization Through Deep Reinforcement Learning,LAYER_ABOVE,VIRT-OSDI25-02,Kamino allocates VMs at admission time with latency-driven cache-aware scheduling; VMR2L re-optimises an existing allocation by migration. Both attack CPU/host fragmentation from opposite ends of the VM lifecycle.
VIRT-EUROSYS25-02,Towards VM Rescheduling Optimization Through Deep Reinforcement Learning,USES_MECHANISM_FROM,"VM pre-copy live migration (Clark et al., NSDI 2005)",Paper states only memory need be transferred and describes dirty-page tracking plus a brief final pause.
VIRT-EUROSYS25-03,HyperAlloc: Efficient VM Memory De/Inflation via Hypervisor-Shared Page-Frame Al,ALTERNATIVE,virtio-balloon / virtio-mem,Directly implemented and measured as baselines; HyperAlloc replaces the balloon device protocol with shared allocator state.
VIRT-EUROSYS25-03,HyperAlloc: Efficient VM Memory De/Inflation via Hypervisor-Shared Page-Frame Al,TRADEOFF_PAIR,VIRT-EUROSYS25-01,HyperAlloc keeps deflation working *under* passthrough/IOMMU pinning; FastIOV attacks the startup cost of that same passthrough path. Both are consequences of choosing passthrough over software mediation.
VIRT-EUROSYS25-03,HyperAlloc: Efficient VM Memory De/Inflation via Hypervisor-Shared Page-Frame Al,SAME_BRANCH,VIRT-ATC25-14,"Para-ksm also reduces VM memory footprint, but by same-page merging (deduplication) rather than by returning free frames; complementary points in the T2 reclamation design space."
VIRT-EUROSYS25-04,Optimizing Task Scheduling in Cloud VMs with Accurate vCPU Abstraction,ALTERNATIVE,XPV / CPS (paravirtualized vCPU exposure),Paper contrasts its inference approach with hypervisor-modifying paravirtual designs and states the sub-second accuracy gap.
VIRT-EUROSYS25-04,Optimizing Task Scheduling in Cloud VMs with Accurate vCPU Abstraction,CONTRASTS_WITH,VIRT-ATC25-02,HyperTurtle reduces the cost of the virtualization boundary itself (nested exits); vSched leaves the boundary alone and instead repairs the abstraction the guest reasons about.
VIRT-EUROSYS25-05,Erebor: A Drop-In Sandbox Solution for Private Data Processing in Untrusted Conf,ALTERNATIVE,Veil / NestedSGX (AMD VMPL-style CVM partitioning),Table 1 of the paper compares protection and deployment requirements; those designs need provider-side hypervisor/paravisor changes.
VIRT-EUROSYS25-05,Erebor: A Drop-In Sandbox Solution for Private Data Processing in Untrusted Conf,SAME_BRANCH,VIRT-EUROSYS25-17,"CKI uses the same Intel PKS mechanism to deprivilege a guest kernel, but for secure-container performance rather than in-CVM data confidentiality - the two papers bracket what PKS-based intra-kernel privilege separation is for."
VIRT-EUROSYS25-07,Improving GPU Sharing Performance through Adaptive Bubbleless Spatial-Temporal S,ALTERNATIVE,NVIDIA MIG,MIG is evaluated as a baseline; Bless argues hardware partitioning is too static and measures 20.5-41.2% latency gaps on real traces.
VIRT-EUROSYS25-07,Improving GPU Sharing Performance through Adaptive Bubbleless Spatial-Temporal S,USES_MECHANISM_FROM,NVIDIA MPS (cuCtxCreate_v3 SM affinity),Spatial partitioning is implemented entirely with MPS contexts carrying SM-affinity limits.
VIRT-EUROSYS25-07,Improving GPU Sharing Performance through Adaptive Bubbleless Spatial-Temporal S,SAME_BRANCH,VIRT-ATC25-03,Both bound GPU interference for co-located tenants; Bless partitions SMs from the host scheduler while the ATC kernel-space-interception work enforces sharing below the CUDA runtime.
VIRT-EUROSYS25-11,Serverless Cold Starts and Where to Find Them,LAYER_ABOVE,VIRT-OSDI25-05,Fork in the Road optimises production cold-start latency with sandbox-level mechanisms; this paper supplies the measured component breakdown that motivates such work.
VIRT-EUROSYS25-11,Serverless Cold Starts and Where to Find Them,CONTRASTS_WITH,VIRT-ATC25-06,Poby attacks image provisioning specifically; this trace shows code/dependency deployment is only one of four components and dominates in some regions but not others.
VIRT-EUROSYS25-13,SeBS-Flow: Benchmarking Serverless Cloud Function Workflows,LAYER_ABOVE,VIRT-EUROSYS25-14,AlloyStack proposes a new serverless workflow execution substrate; SeBS-Flow is the benchmark layer that such substrates would be judged against.
VIRT-EUROSYS25-14,AlloyStack: A Library Operating System for Serverless Workflow Applications,ALTERNATIVE,Faastlane / Faasm / Firecracker-per-function,"All are implemented or cited as baselines; the paper measures thread-in-process, WASM and microVM isolation of workflow functions against each other."
VIRT-EUROSYS25-14,AlloyStack: A Library Operating System for Serverless Workflow Applications,SAME_BRANCH,VIRT-EUROSYS25-16,"Both replace a heavyweight sandbox with a language/runtime-level boundary - AlloyStack via LibOS+MPK, WALI via the Wasm memory sandbox with a thin kernel interface."
VIRT-EUROSYS25-14,AlloyStack: A Library Operating System for Serverless Workflow Applications,USES_MECHANISM_FROM,Intel MPK / ERIM-style binary rewriting,Paper builds its system/user partition on PKRU switching and cites ERIM for handling unsafe instructions.
VIRT-EUROSYS25-16,Empowering WebAssembly with Thin Kernel Interfaces,ALTERNATIVE,WASI (WebAssembly System Interface),Paper argues WASI misaligns goals and shows WASI can instead be implemented above WALI in Wasm.
VIRT-EUROSYS25-16,Empowering WebAssembly with Thin Kernel Interfaces,CONTRASTS_WITH,Docker containers / QEMU,"Both are measured as baselines for startup, memory and execution overhead."
