10.1145/3712285.3759768 | 905-934 | Characterizing Performance, Power, and Energy of AMD CDNA3 GPU Family
10.1145/3712285.3759769 | 1816-1829 | HStencil: Matrix-Vector Stencil Computation with Interleaved Outer Product and MLA
10.1145/3712285.3759770 | 1830-1844 | Rethinking Back Transformation in 2-stage Eigenvalue Decomposition on Heterogeneous Architectures
10.1145/3712285.3759771 | 1604-1618 | HyTiS: Hybrid Tile Scheduling for GPU GEMM with Enhanced Wave Utilization and Cache Locality
10.1145/3712285.3759772 | 991-1005 | TurboFNO: High-Performance Fourier Neural Operator with Fused FFT-GEMM-iFFT on GPU
10.1145/3712285.3759773 | 383-396 | TraceFlow: Efficient Trace Analysis for Large-Scale Parallel Applications via Interaction Pattern-Aware Trace Distribution
10.1145/3712285.3759774 | 298-315 | CPU- and GPU-initiated Communication Strategies for Conjugate Gradient Methods on Large GPU Clusters
10.1145/3712285.3759775 | 1351-1367 | Balanced and Elastic End-to-end Training of Dynamic LLMs
10.1145/3712285.3759776 | 805-819 | MetoHash: A Memory-Efficient and Traffic-Optimized Hashing Index on Hybrid PMem-DRAM Memories
10.1145/3712285.3759777 | 789-804 | UpANNS: Enhancing Billion-Scale ANNS Efficiency with Real-World PIM Architecture
10.1145/3712285.3759778 | 1028-1042 | AGILE: Lightweight and Efficient Asynchronous GPU-SSD Integration
10.1145/3712285.3759779 | 167-184 | A Sample-Free Compilation Framework for Efficient Dynamic Tensor Computation
10.1145/3712285.3759780 | 837-854 | Optimizing Data Acquisitions in Multi-Robot Systems
10.1145/3712285.3759781 | 1661-1675 | MISA-AKMC :Achieve Kinetic Monte Carlo Simulation of 20 Quadrillion Atoms on GPU Clusters
10.1145/3712285.3759782 | 1524-1538 | SIGMo: High-Throughput Batched Subgraph Isomorphism on GPUs for Molecular Matching
10.1145/3712285.3759783 | 1755-1768 | Hypertron: Efficiently Scaling Large Models by Exploring High-Dimensional Parallelization Space
10.1145/3712285.3759784 | 1710-1724 | Hetis: Serving LLMs in Heterogeneous GPU Clusters with Fine-grained and Dynamic Parallelism
10.1145/3712285.3759785 | 728-745 | Qonductor: A Cloud Orchestrator for Quantum Computing
10.1145/3712285.3759786 | 2233-2250 | DHAP: Towards Efficient OLAP in a Disaggregated and Heterogeneous Environment
10.1145/3712285.3759787 | 458-474 | ChatHPC: Building the Foundations for a Productive and Trustworthy AI-Assisted HPC Ecosystem
10.1145/3712285.3759788 | 250-264 | Moment: Co-optimizing Physical Communication Topology and Data Placement for Multi-GPU Out-of-core GNN Training
10.1145/3712285.3759789 | 774-788 | Optimizing Quantum Circuit Mapping to Reduce Inter-Module Communications in Distributed Architectures
10.1145/3712285.3759790 | 586-601 | coMtainer: Compilation-assisted HPC Container Images with Enhanced Adaptability
10.1145/3712285.3759791 | 556-569 | Bridging the Gap Between Binary and Source Based Package Management in Spack
10.1145/3712285.3759792 | 1477-1494 | Caracal: A GPU-Resident Sparse LU Solver with Lightweight Fine-Grained Scheduling
10.1145/3712285.3759793 | 411-436 | Breaking the System Noise Barrier at Exascale
10.1145/3712285.3759794 | 1180-1194 | Effective Node-Level Anomaly Detection in HPC Systems via Coarse-Grained Clustering and Fine-Grained Model Sharing
10.1145/3712285.3759795 | 2038-2055 | STZ: A High Quality and High Speed Streaming Lossy Compression Framework for Scientific Data
10.1145/3712285.3759796 | 602-616 | Sparsified Preconditioned Conjugate Gradient Solver on GPUs
10.1145/3712285.3759797 | 331-348 | C.A.T.S.: Memory and Control Flow Tracing for Whole-Program Performance Analysis
10.1145/3712285.3759798 | 2024-2037 | Boosting Scientific Error-Bounded Lossy Compression through Optimized Synergistic Lossy-Lossless Orchestration
10.1145/3712285.3759799 | 746-761 | QDockBank: A dataset for Ligand Docking on Protein Fragments Predicted on Utility-Level Quantum Computers
10.1145/3712285.3759800 | 1646-1660 | NNQS-SCI: Tackling Trillion-Dimensional Hilbert Space with Adaptive Neural Network Quantum States
10.1145/3712285.3759801 | 820-836 | DRIM-ANN: An Approximate Nearest Neighbor Search Engine based on Commercial DRAM-PIMs
10.1145/3712285.3759802 | 1429-1445 | BurstEngine: An efficient distributed framework for training transformers On extremely Long sequences of over 1M tokens
10.1145/3712285.3759803 | 1127-1144 | Demystifying the Resilience of Large Language Model Inference: An End-to-End Perspective
10.1145/3712285.3759804 | 855-869 | ThirstyFLOPS: Water Footprint Modeling and Analysis Toward Sustainable HPC Systems
10.1145/3712285.3759805 | 265-280 | mLR: Scalable Laminography Reconstruction based on Memoization
10.1145/3712285.3759806 | 2251-2265 | Make Updates Faster: A Fast Multi-Stripe Updates Framework in Erasure-Coded Storage Clusters
10.1145/3712285.3759807 | 711-727 | A Nested Krylov Method Using Half-Precision Arithmetic
10.1145/3712285.3759808 | 1006-1027 | ODOS-MPI: HPC-Friendly SmartNIC Offloading of Computation/Communication Kernels
10.1145/3712285.3759809 | 1590-1603 | MXBLAS: Accelerating 8-bit Deep Learning with a Unified Micro-Scaled GEMM Library
10.1145/3712285.3759810 | 661-680 | RAPTOR: Practical Numerical Profiling of Scientific Applications
10.1145/3712285.3759811 | 1935-1950 | A Streaming Collectives Interface Targeting Dataflow Acceleration and HPC Workloads
10.1145/3712285.3759812 | 490-504 | HELM: Characterizing Unified Memory Accesses to Improve GPU Performance under Memory Oversubscription
10.1145/3712285.3759813 | 1874-1887 | Million-Atom Ab Initio Electron Dynamics: Discontinuous Galerkin Real-Time Time-Dependent Density Functional Theory
10.1145/3712285.3759814 | 2006-2023 | lsCOMP: Efficient Light Source Compression
10.1145/3712285.3759815 | 888-904 | Benchmark-driven Models for Energy Analysis and Attribution of GPU-Accelerated Supercomputing
10.1145/3712285.3759816 | 2216-2232 | cMPI: Using CXL Memory Sharing for MPI One-Sided and Two-Sided Inter-Node Communications
10.1145/3712285.3759817 | 2056-2075 | GPU Lossy Compression for HPC Can Be Versatile and Ultra-Fast
10.1145/3712285.3759818 | 237-249 | TaGNN: An Efficient Topology-aware Accelerator for High-performance Dynamic Graph Neural Network
10.1145/3712285.3759819 | 2158-2171 | Microscopic-Level Mouse Whole Cortex Simulation Composed of 9 Million Biophysical Neurons and 26 Billion Synapses on the Supercomputer Fugaku
10.1145/3712285.3759820 | 1495-1509 | SparStencil: Retargeting Sparse Tensor Cores to Scientific Stencil Computations via Structured Sparsity Transformation
10.1145/3712285.3759821 | 1145-1164 | Story of Two GPUs: Characterizing the Resilience of Hopper H100 and Ampere A100 GPUs
10.1145/3712285.3759822 | 1099-1112 | Deploying Lightweight Input-Aware Selective Instruction Duplication in HPC Applications
10.1145/3712285.3759823 | 1725-1741 | gLLM: Global Balanced Pipeline Parallelism Systems for Distributed LLMs Serving with Token Throttling
10.1145/3712285.3759824 | 2186-2202 | T2-RELION: Task Parallelism, Tensor Core Accelerated RELION for Cryo-EM 3D Reconstruction
10.1145/3712285.3759825 | 1299-1314 | MANS: Efficient and Portable ANS Encoding for Multi-Byte Integer Data on CPUs and GPUs
10.1145/3712285.3759826 | 631-644 | StraGCN: GPU-Accelerated Strassen's Sparse-Dense Matrix Multiplication for Graph Convolutional Network Training
10.1145/3712285.3759827 | 1368-1380 | HPC-R1: Characterizing R1-like Large Reasoning Models on HPC
10.1145/3712285.3759828 | 1917-1934 | DPAR: High-Performance, Secure, and Scalable Differential Privacy-based AllReduce
10.1145/3712285.3759829 | 2126-2142 | Matrix Is All You Need: Rearchitecting Quantum Chemistry to Scale on AI Accelerators
10.1145/3712285.3759830 | 368-382 | RedSan: A Redundant Memory Instruction Sanitizer for GPU Programs
10.1145/3712285.3759831 | 1785-1799 | TianheEngine: Hierarchy-aware Adaptive Partitioning System for Trillion-scale Graph Processing
10.1145/3712285.3759832 | 949-972 | Accelerated Spatio-Temporal Bayesian Modeling for Multivariate Gaussian Processes
10.1145/3712285.3759833 | 2172-2185 | Trillion Ligands per Day: Performance-Portable Virtual Screening via Compound Database Optimization and Multi-Target Docking
10.1145/3712285.3759834 | 973-990 | Towards Efficient LLM Inference via Collective and Adaptive Speculative Decoding
10.1145/3712285.3759835 | 1901-1916 | Bine Trees: Enhancing Collective Operations by Optimizing Communication Locality
10.1145/3712285.3759836 | 1980-1991 | Generative Latent Diffusion for Efficient Spatiotemporal Data Reduction
10.1145/3712285.3759837 | 681-694 | Numerical Performance of the Implicitly Restarted Arnoldi Method in OFP8, Bfloat16, Posit, and Takum Arithmetics
10.1145/3712285.3759838 | 349-367 | ATLAHS: An Application-centric Network Simulator Toolchain for AI, HPC, and Distributed Storage
10.1145/3712285.3759839 | 1510-1523 | Fringe-SGC: Counting Subgraphs with Fringe Vertices
10.1145/3712285.3759840 | 316-330 | Zero-Value Code Specialization via Profile-Guided Control Data Flow Analysis
10.1145/3712285.3759841 | 617-630 | FaSTCC: Fast Sparse Tensor Contractions on CPUs
10.1145/3712285.3759842 | 1211-1222 | ACTINA: Adapting Circuit-Switching Techniques for AI Networking Architectures
10.1145/3712285.3759843 | 1240-1251 | Scaling Out Chip Interconnect Networks with Implicit Sequence Numbers
10.1145/3712285.3759844 | 1631-1645 | TENSORMD: Accelerating Molecular Dynamics with a High-Performance Machine Learning Interatomic Potential
10.1145/3712285.3759845 | 2076-2093 | HP-MDR: High-performance and Portable Data Refactoring and Progressive Retrieval with Advanced GPUs
10.1145/3712285.3759846 | 1697-1709 | Compile-Time QoS Scheme for Deep Learning Inferences
10.1145/3712285.3759848 | 2203-2215 | Workload Intelligence: Workload-Aware IaaS abstraction for Cloud Efficiency
10.1145/3712285.3759849 | 645-660 | Bridging the Gap between Unstructured SpMM and Structured Sparse Tensor Cores
10.1145/3712285.3759850 | 1888-1900 | Deep Learning-Enabled Supercritical Flame Simulation at Detailed Chemistry and Real-Fluid Accuracy Towards Trillion-Cell Scale
10.1145/3712285.3759851 | 1539-1552 | Graphago: Accelerating SSD-based Graph Processing via Activity-Aware Graph Preprocessing
10.1145/3712285.3759852 | 1619-1630 | LiquidGEMM: Hardware-Efficient W4A8 GEMM Kernel for High-Performance LLM Serving
10.1145/3712285.3759853 | 1085-1098 | FT-Transformer: Resilient and Reliable Transformer with End-to-End Fault Tolerant Attention
10.1145/3712285.3759854 | 570-585 | EDDE: Container Deployment Framework Beyond the Cloud
10.1145/3712285.3759855 | 1409-1428 | SlimPipe: Memory-Thrifty and Efficient Pipeline Parallelism for Long-Context LLM Training
10.1145/3712285.3759856 | 1966-1979 | What to Support When You're Compressing
10.1145/3712285.3759857 | 519-532 | BOER: Enhancing Resource Utilization for Deep Learning Inference with Hybrid Spatial GPU Sharing
10.1145/3712285.3759858 | 870-887 | Core Hours and Carbon Credits: Incentivizing Sustainability in HPC
10.1145/3712285.3759859 | 1395-1408 | RingX: Scalable Parallel Attention for Long-Context Learning on HPC
10.1145/3712285.3759860 | 1060-1072 | COSMOS: Performance Portable Graph Pattern Matching with Domain-Specific Software Distributed Shared Memory
10.1145/3712285.3759861 | 475-489 | GreenMix: Energy-Efficient Serverless Computing via Randomized Sketching on Asymmetric Multi-Cores
10.1145/3712285.3759862 | 1267-1283 | Phoenix: A Refactored I/O Stack for GPU Direct Storage without Phony Buffers
10.1145/3712285.3759863 | 2094-2108 | AMRaCut: Scalable Partitioning for Adaptive Mesh Refinement
10.1145/3712285.3759864 | 1381-1394 | MLP-Offload: Multi-Level, Multi-Path Offloading for LLM Pre-training to Break the GPU Memory Wall
10.1145/3712285.3759865 | 1800-1815 | Parallel Rank-Adaptive Higher Order Orthogonal Iteration
10.1145/3712285.3759866 | 1859-1873 | The First Star-by-star N-body/Hydrodynamics Simulation of Our Galaxy Coupling with a Surrogate Model
10.1145/3712285.3759867 | 1676-1696 | MaverIQ: Fingerprint-Guided Extrapolation and Fragmentation-Aware Layering for Intent-Based LLM Serving
