00001	Title Page
00002	Copyright Page
00003	Table of Contents
00004	Foreword from the General Chair
00005	Foreword from the Technical Program Chair and Vice Chair
00006	Foreword from the Technical Papers Chair and Vice Chair
00007	ORBIT: Oak Ridge Base Foundation Model for Earth System Predictability
00008	Boosting Earth System Model Outputs And Saving PetaBytes in Their Storage Using Exascale Climate Emulators
00009	A Performance-Portable Kilometer-Scale Global Ocean Model on ORISE and New Sunway Heterogeneous Supercomputers
00010	Democratizing AI: Open-source Scalable LLM Training on GPU-based Supercomputers
00011	Pushing the Limit of Quantum Mechanical Simulation to the Raman Spectra of a Biological System with 100 Million Atoms
00012	Toward Capturing Genetic Epistasis from Multivariate Genome-Wide Association Studies Using Mixed-Precision Kernel Ridge Regression
00013	MProt-DPO: Breaking the ExaFLOPS Barrier for Multimodal Protein Design Workflows with Direct Preference Optimization
00014	Breaking the Molecular Dynamics Timescale Barrier Using a Wafer-Scale System
00015	Breaking the Million-Electron and 1 EFLOP/s Barriers: Biomolecular-Scale Ab Initio Molecular Dynamics Using MP2 Potentials
00016	M3XU: Achieving High-Precision and Complex Matrix Multiplication with Low-Precision MXUs
00017	Hydrogen: Contention-Aware Hybrid Memory for Heterogeneous CPU-GPU Architectures
00018	EcoLife: Carbon-Aware Serverless Function Scheduling for Sustainable Computing
00019	CUSZ-i: High-Ratio Scientific Lossy Compression on GPUs with Optimized Multi-Level Interpolation
00020	Tango: A Cross-layer Approach to Managing I/O Interference over Local Ephemeral Storage
00021	CUSZP2: A GPU Lossy Compressor with Extreme Throughput and Optimized Compression Ratio
00022	LLM-Pilot: Characterize and Optimize Performance of your LLM Inference Services
00023	DFTracer: An Analysis-Friendly Data Flow Tracer for AI-Driven Workflows
00024	Efficient Weighted Graph Matching on GPUs
00025	Automated Code Generation of High-Order Stencils for a Dataflow Architecture
00026	Moirae: Generating High-Performance Composite Stencil Programs with Global Optimizations
00027	autoGEMM: Pushing the Limits of Irregular Matrix Multiplication on Arm Architectures
00028	Accurate and Convenient Energy Measurements for GPUs: A Detailed Study of NVIDIA GPU's Built-In Power Sensor
00029	A Digital Twin Framework for Liquid-cooled Supercomputers as Demonstrated at Exascale
00030	Toward Sustainable HPC: In-Production Deployment of Incentive-Based Power Efficiency Mechanism on the Fugaku Supercomputer
00031	Towards Highly Compatible I/O-Aware Workflow Scheduling on HPC Systems
00032	PAL: A Variability-Aware Policy for Scheduling ML Workloads in GPU Clusters
00033	Toward High-Performance Blockchain System by Blurring the Line between Ordering and Execution
00034	Matrix-Free Finite Volume Kernels on a Dataflow Architecture
00035	Rapid GPU-Based Pangenome Graph Layout
00036	Scaling Molecular Dynamics with ab initio Accuracy to 149 Nanoseconds per Day
00037	An Evaluation of the Effect of Network Cost Optimization for Leadership Class Supercomputers
00038	Application-Driven Exascale: The JUPITER Benchmark Suite
00039	Exploring GPU-to-GPU Communication: Insights into Supercomputer Interconnects
00040	MCFuser: High-Performance and Rapid Fusion of Memory-Bound Compute-Intensive Operators
00041	Static Generation of Efficient OpenMP Offload Data Mappings
00042	HiRace: Accurate and Fast Data Race Checking for GPU Programs
00043	Boosting Data Center Performance via Intelligently Managed Multi-backend Disaggregated Memory
00044	SMIless: Serving DAG-based Inference with Dynamic Invocations under Serverless Computing
00045	Stellaris: Staleness-Aware Distributed Reinforcement Learning with Serverless Computing
00046	PipeInfer: Accelerating LLM Inference using Asynchronous Pipelined Speculation
00047	RecFlex: Enabling Feature Heterogeneity-Aware Optimization for Deep Recommendation Models with Flexible Schedules
00048	ParvaGPU: Efficient Spatial GPU Sharing for Large-Scale DNN Inference in Cloud Environments
00049	CUDASTF: Bridging the Gap Between CUDA and Task Parallelism
00050	KaMPIng: Flexible and (Near) Zero-Overhead C++ Bindings for MPI
00051	NetCL: A Unified Programming Framework for In-Network Computing
00052	Distributed-Memory Parallel Algorithms for Sparse Matrix and Sparse Tall-and-Skinny Matrix Multiplication
00053	A Sparsity-Aware Distributed-Memory Algorithm for Sparse-Sparse Matrix Multiplication
00054	A Conflict-aware Divide-and-Conquer Algorithm for Symmetric Sparse Matrix-Vector Multiplication
00055	Accelerating Distributed DLRM Training with Optimized TT Decomposition and Micro-Batching
00056	Scaling New Heights: Transformative Cross-GPU Sampling for Training Billion-Edge Graphs
00057	A Scalable Algorithm for Active Learning
00058	AmgT: Algebraic Multigrid Solver on Tensor Cores
00059	LoRAStencil: Low-Rank Adaptation of Stencil Computation on Tensor Cores
00060	High Performance Unstructured SpMM Computation Using Tensor Cores
00061	Versatile Datapath Soft Error Detection on the Cheap for HPC Applications
00062	MCBound: An Online Framework to Characterize and Classify Memory/Compute-bound HPC Jobs
00063	GVARP: Detecting Performance Variance on Large-Scale Heterogeneous Systems
00064	Mille-feuille: A Tile-Grained Mixed Precision Single-Kernel Conjugate Gradient Solver on GPUs
00065	DBSR: An Efficient Storage Format for Vectorizing Sparse Triangular Solvers on Structured Grids
00066	Many-Body Electronic Correlation Energy using Krylov Subspace Linear Solvers
00067	Enabling 13K-Atom Excited-State GW Calculations via Low-Rank Approximations and HPC on the New Sunway Supercomputer
00068	Reshaping High Energy Physics Applications for Near-Interactive Execution Using TaskVine
00069	Towards Exascale Simulations of Nanoelectronic Devices in the GW Approximation
00070	LLAMP: Assessing Network Latency Tolerance of HPC Applications with Linear Programming
00071	A Workflow Roofline Model for End-to-End Workflow Performance Analysis
00072	Learning Generalizable Program and Architecture Representations for Performance Modeling
00073	LEXIQL: Quantum Natural Language Processing on NISQ-era Machines
00074	Optimizing Quantum Fourier Transformation (QFT) Kernels for Modern NISQ and FT Architectures
00075	On the Efficacy of Surface Codes in Compensating for Radiation Events in Superconducting Devices
00076	Revisiting Computation for Research: Practices and Trends
00077	Understanding Data Movement Patterns in HPC: A NERSC Case Study
00078	HPAC-ML: A Programming Model for Embedding ML Surrogates in Scientific Applications
00079	PARALLAX: A Compiler for Neutral Atom Quantum Computers under Hardware Constraints
00080	MixQ: Taming Dynamic Outliers in Mixed-Precision Quantization by Online Prediction
00081	LONG EXPOSURE: Accelerating Parameter-Efficient Fine-Tuning for LLMs under Shadowy Sparsity
00082	Adaptive Patching for High-resolution Image Segmentation with Transformers
